Clade.name,Clade.age,N.tips,Clade.size,study_code,tree_file,neglnL,lambda,mu,net.div,turn,ef,lambda_lower,mu_lower,net.div_lower,turn_lower,ef_lower,lambda_upper,mu_upper,net.div_upper,turn_upper,ef_upper,tot_bl
Furnariidae,32.6,278,287,pg1953.pr,henaodiaz_etal_trees-master//phylo_pg1953.pr_.txt,817.3713583,0.142907183,3.27035453405371e-16,0.142907183,0.142907183,2.28844656982445e-15,0.109121217,2.95037871450621e-16,0.089317503,0.128924931,2.288447e-15,0.190756116,0.029301389,0.190756116,0.190756116,0.181483626,1965.231569
Scolopacidae,31.4,6,79,pg2371,henaodiaz_etal_trees-master//phylo_pg2371_.txt,17.21078008,0.438429657,0.393599399,0.044830258,0.832029056,0.897748118,0.053001006,0.008649731,-0.688911733,0.118524277,0.078723699,6.044742157,3.604759175,5.568877697,6.520606617,1.23626467,108.9526254
Passeriformes,21,191,6263,pg2575,henaodiaz_etal_trees-master//phylo_pg2575_.txt,495.0977354,0.713447619,0.245293185,0.468154434,0.958740804,0.343813868,0.293592924,4.2323709834287e-06,0.101242435,0.485943413,8.70967222014004e-06,1.918031359,0.759219022,1.918014653,1.918048064,0.655160507,1320.577259
Euteleostei,216.9,572,17419,pg2576.pr,henaodiaz_etal_trees-master//phylo_pg2576.pr_.txt,2628.797519,0.505601434,0.46632437,0.039277065,0.971925804,0.922316153,0.423901234,0.390029071,0.024847619,0.82295485,0.900914406,0.623813105,0.575005895,0.061810892,1.185815317,0.941383472,21751.07569
Otophysi,349.8,95,6842,pg2659,henaodiaz_etal_trees-master//phylo_pg2659_.txt,509.5862452,0.283208809,0.26067641,0.022532399,0.54388522,0.920438919,0.151352049,0.134445627,0.005227262,0.297476835,0.824661901,0.527423913,0.472729776,0.092477506,0.96237032,0.965462892,9249.723823
Lupinus,12.3,120,159,pg2689.pr,henaodiaz_etal_trees-master//phylo_pg2689.pr_.txt,216.641904,0.74496337,0.441003479,0.303959892,1.185966849,0.591980084,0.312383883,0.06925048,0.04561671,0.579151057,0.135811732,1.749879959,0.91549324,1.512225731,1.987534187,0.853972269,276.6046433
Columbidae,47.3,55,244,pg2850,henaodiaz_etal_trees-master//phylo_pg2850_.txt,184.4392533,0.436918527,0.368883373,0.068035155,0.8058019,0.844284116,0.177651919,0.120515431,0.004240627,0.351063211,0.522735159,1.034129652,0.777842054,0.493553724,1.574705579,0.976129576,636.1489311
Trochilidae,22.5,293,338,pg2853,henaodiaz_etal_trees-master//phylo_pg2853_.txt,764.7608445,0.210473566,2.66130433719819e-14,0.210473566,0.210473566,1.2644363782417e-13,0.14816057,2.37983987735742e-14,0.10810759,0.18821355,1.264436e-13,0.316737444,0.06740364,0.316737444,0.316737444,0.270334945,1487.856012
Temnothrorax,35,97,390,PRE2017.cr.pr,henaodiaz_etal_trees-master//phylo_PRE2017.cr.pr_.txt,348.5632271,0.111230462,3.63632144805126e-16,0.111230462,0.111230462,3.26917768318823e-15,0.077446918,3.09248393531531e-16,0.060298682,0.094595153,3.269178e-15,0.162681464,0.029490941,0.162681464,0.162681464,0.221419212,1687.384981
Psophiidae,2.7,8,11,R2011,henaodiaz_etal_trees-master//phylo_R2011_.txt,10.04867861,0.619179299,5.80218034931455e-16,0.619179299,0.619179299,9.37075958704311e-16,0.082176006,2.223923863927e-16,-1.746364399,0.23732588,9.37076e-16,5.679532698,3.712948549,5.679532698,5.679532698,1.888019157,12.01
